,Date,Temp
1045,1919-02-01,25.156
1046,1919-03-01,25.075
1047,1919-04-01,24.922
1048,1919-05-01,24.654
1049,1919-06-01,23.626
1050,1919-07-01,22.927
1051,1919-08-01,21.392
1052,1919-09-01,22.094
1053,1919-10-01,22.26
1054,1919-11-01,23.937
1055,1919-12-01,24.296
1056,1920-01-01,25.895
1057,1920-02-01,26.463
1058,1920-03-01,25.949
1059,1920-04-01,25.088
1060,1920-05-01,23.518
1061,1920-06-01,23.205
1062,1920-07-01,23.413
1063,1920-08-01,20.456
1064,1920-09-01,20.928
1065,1920-10-01,21.84
1066,1920-11-01,23.175
1067,1920-12-01,23.807
1068,1921-01-01,25.54
1069,1921-02-01,26.826
1070,1921-03-01,26.328000000000007
1071,1921-04-01,24.268
1072,1921-05-01,23.778
1073,1921-06-01,22.453000000000007
1074,1921-07-01,21.282
1075,1921-08-01,23.103
1076,1921-09-01,21.254
1077,1921-10-01,20.853
1078,1921-11-01,21.554
1079,1921-12-01,23.693
1080,1922-01-01,25.829
1081,1922-02-01,26.219
1082,1922-03-01,26.404
1083,1922-04-01,24.819000000000006
1084,1922-05-01,24.18
1085,1922-06-01,23.403
1086,1922-07-01,22.465
1087,1922-08-01,23.05
1088,1922-09-01,22.04000000000001
1089,1922-10-01,21.388
1090,1922-11-01,22.865
1091,1922-12-01,24.313
1092,1923-01-01,25.677
1093,1923-02-01,26.213
1094,1923-03-01,26.55
1095,1923-04-01,25.864
1096,1923-05-01,24.168000000000006
1097,1923-06-01,23.255
1098,1923-07-01,21.194000000000006
1099,1923-08-01,22.164
1100,1923-09-01,21.519000000000002
1101,1923-10-01,21.384
1102,1923-11-01,22.811
1103,1923-12-01,25.36
1104,1924-01-01,24.659
1105,1924-02-01,25.51100000000001
1106,1924-03-01,26.456999999999997
1107,1924-04-01,25.254
1108,1924-05-01,24.282
1109,1924-06-01,23.155
1110,1924-07-01,22.108
1111,1924-08-01,21.145
1112,1924-09-01,21.04
1113,1924-10-01,19.912
1114,1924-11-01,21.97
1115,1924-12-01,23.496
1116,1925-01-01,25.143
1117,1925-02-01,26.209000000000003
1118,1925-03-01,25.523000000000003
1119,1925-04-01,25.423
1120,1925-05-01,24.385
1121,1925-06-01,21.656
1122,1925-07-01,20.619
1123,1925-08-01,23.179
1124,1925-09-01,21.857
1125,1925-10-01,20.246
1126,1925-11-01,22.791999999999998
1127,1925-12-01,24.788
1128,1926-01-01,25.511
1129,1926-02-01,24.946
1130,1926-03-01,26.224
1131,1926-04-01,24.539
1132,1926-05-01,23.363000000000003
1133,1926-06-01,23.518
1134,1926-07-01,22.593000000000004
1135,1926-08-01,22.409
1136,1926-09-01,22.804000000000002
1137,1926-10-01,22.179
1138,1926-11-01,23.379
1139,1926-12-01,24.464
1140,1927-01-01,25.362
1141,1927-02-01,26.214000000000002
1142,1927-03-01,26.625
1143,1927-04-01,25.250999999999998
1144,1927-05-01,23.641
1145,1927-06-01,22.827
1146,1927-07-01,21.679
1147,1927-08-01,21.839
1148,1927-09-01,21.654
1149,1927-10-01,21.712
1150,1927-11-01,23.305
1151,1927-12-01,23.883000000000006
1152,1928-01-01,24.933000000000003
1153,1928-02-01,26.76400000000001
1154,1928-03-01,27.230999999999998
1155,1928-04-01,26.247
1156,1928-05-01,24.537
1157,1928-06-01,24.445
1158,1928-07-01,22.741
1159,1928-08-01,21.869
1160,1928-09-01,22.028000000000002
1161,1928-10-01,21.324
1162,1928-11-01,22.697
1163,1928-12-01,24.241
1164,1929-01-01,26.12
1165,1929-02-01,26.554000000000002
1166,1929-03-01,26.185
1167,1929-04-01,23.38
1168,1929-05-01,22.756999999999998
1169,1929-06-01,23.25
1170,1929-07-01,21.984
1171,1929-08-01,22.429
1172,1929-09-01,22.395
1173,1929-10-01,22.838
1174,1929-11-01,21.916
1175,1929-12-01,25.808000000000003
1176,1930-01-01,26.656
1177,1930-02-01,26.616000000000003
1178,1930-03-01,26.745
1179,1930-04-01,24.401
1180,1930-05-01,24.044
1181,1930-06-01,24.942
1182,1930-07-01,23.012
1183,1930-08-01,22.534
1184,1930-09-01,21.239
1185,1930-10-01,22.157
1186,1930-11-01,22.091
1187,1930-12-01,24.063
1188,1931-01-01,25.875
1189,1931-02-01,24.98200000000001
1190,1931-03-01,26.320999999999998
1191,1931-04-01,25.151999999999997
1192,1931-05-01,23.791999999999998
1193,1931-06-01,23.221
1194,1931-07-01,22.804
1195,1931-08-01,21.224
1196,1931-09-01,20.994
1197,1931-10-01,21.558000000000003
1198,1931-11-01,22.025
1199,1931-12-01,24.535
1200,1932-01-01,24.768
1201,1932-02-01,26.935
1202,1932-03-01,26.829
1203,1932-04-01,25.979
1204,1932-05-01,23.851
1205,1932-06-01,23.189
1206,1932-07-01,23.761
1207,1932-08-01,21.568
1208,1932-09-01,22.754
1209,1932-10-01,22.887
1210,1932-11-01,23.24
1211,1932-12-01,24.954
1212,1933-01-01,24.924
1213,1933-02-01,26.581000000000003
1214,1933-03-01,25.59
1215,1933-04-01,23.421
1216,1933-05-01,23.301
1217,1933-06-01,22.153
1218,1933-07-01,21.576
1219,1933-08-01,21.636
1220,1933-09-01,21.394000000000002
1221,1933-10-01,21.381
1222,1933-11-01,21.344
1223,1933-12-01,22.855
1224,1934-01-01,25.617
1225,1934-02-01,26.563000000000002
1226,1934-03-01,26.480999999999998
1227,1934-04-01,25.166999999999998
1228,1934-05-01,24.369
1229,1934-06-01,23.997
1230,1934-07-01,21.817
1231,1934-08-01,21.846
1232,1934-09-01,21.823
1233,1934-10-01,21.059
1234,1934-11-01,22.832
1235,1934-12-01,23.932
1236,1935-01-01,24.999
1237,1935-02-01,26.67100000000001
1238,1935-03-01,26.97
1239,1935-04-01,24.064
1240,1935-05-01,22.712
1241,1935-06-01,23.918000000000006
1242,1935-07-01,23.793000000000006
1243,1935-08-01,21.99
1244,1935-09-01,21.8
1245,1935-10-01,22.203000000000007
1246,1935-11-01,22.795
1247,1935-12-01,24.786
1248,1936-01-01,26.149
1249,1936-02-01,25.696
1250,1936-03-01,25.894
1251,1936-04-01,25.273000000000003
1252,1936-05-01,25.941
1253,1936-06-01,24.818
1254,1936-07-01,23.199
1255,1936-08-01,21.564
1256,1936-09-01,21.115
1257,1936-10-01,21.723000000000006
1258,1936-11-01,22.777
1259,1936-12-01,24.087
1260,1937-01-01,24.379
1261,1937-02-01,26.792
1262,1937-03-01,26.524
1263,1937-04-01,24.820999999999998
1264,1937-05-01,23.127
1265,1937-06-01,23.505
1266,1937-07-01,23.410999999999998
1267,1937-08-01,23.311
1268,1937-09-01,21.285
1269,1937-10-01,21.455
1270,1937-11-01,22.012
1271,1937-12-01,22.739
1272,1938-01-01,26.882
1273,1938-02-01,26.345
1274,1938-03-01,27.096
1275,1938-04-01,24.977
1276,1938-05-01,23.738000000000003
